date,open,high,low,close,volume
2020-04-02,152.35,159.57,152.0,157.26,1524401
2020-04-03,155.07,158.3,151.04,154.14,1671068
2020-04-06,160.58,174.54,158.81,173.15,1537881
2020-04-07,178.17,179.7,173.38,175.92,2128713
2020-04-08,177.28,190.91,175.76,187.96,2284200
2020-04-09,190.57,193.6,186.68,192.05,1798576
2020-04-13,188.67,189.99,184.52,186.38,919095
2020-04-14,189.11,194.32,187.85,194.03,1234878
2020-04-15,190.46,192.44,182.75,183.94,1261883
2020-04-16,183.86,186.98,181.965,186.24,1239323
2020-04-17,191.77,193.98,188.62,190.81,1407323
2020-04-20,188.31,188.31,183.06,185.69,1128689
2020-04-21,178.9,182.68,177.925,178.18,1015766
2020-04-22,181.62,182.44,176.82,181.59,813845
2020-04-23,181.31,181.4,174.0,174.77,1616973
2020-04-24,176.39,177.9399,173.18,175.54,1271662
2020-04-27,175.91,177.04,171.56,172.93,1463478
2020-04-28,175.66,175.98,171.9,172.33,1522671
2020-04-29,174.54,175.25,170.1,170.61,1857030
2020-04-30,168.23,173.86,167.45,172.67,2624891
2020-05-01,171.51,179.85,169.29,178.21,2029407
2020-05-04,178.24,178.82,176.09,177.68,1570860
2020-05-05,177.07,184.02,177.07,182.93,1144720
2020-05-06,184.28,184.71,176.38,177.24,1133591
2020-05-07,178.91,186.35,178.91,184.83,1135131
2020-05-08,186.17,189.77,185.19,189.76,856961
2020-05-11,188.75,194.07,188.49,192.01,1470279
2020-05-12,191.57,194.95,191.57,193.22,1451391
2020-05-13,195.0,195.0,189.33,190.23,3089469
2020-05-14,187.53,194.27,186.23,193.93,1170607
2020-05-15,192.22,193.425,190.44,191.67,2127540
2020-05-18,195.74,200.31,195.33,196.84,1509528
2020-05-19,195.49,197.97,195.36,195.54,1031419
2020-05-20,197.37,199.345,194.91,195.27,1029585
2020-05-21,194.65,195.55,192.1,193.33,1183054
2020-05-22,193.31,193.405,190.69,191.97,940796
2020-05-26,195.43,197.36,194.75,195.06,1262714
2020-05-27,198.38,200.15,195.97,197.84,1565630
2020-05-28,199.39,201.53,195.995,198.69,1073593
2020-05-29,198.04,199.06,195.2,196.95,3211471
2020-06-01,196.28,197.58,194.67,196.14,1182878
2020-06-02,196.65,197.545,194.05,194.83,1181301
2020-06-03,196.17,201.47,195.33,198.97,1225605
2020-06-04,197.86,198.53,195.9,197.99,623629
2020-06-05,204.4,204.4,199.46,200.2,1592033
2020-06-08,200.04,200.44,196.64,198.01,1525006
2020-06-09,196.71,197.445,193.69,194.29,1328228
2020-06-10,193.37,194.99,191.2,193.18,1667819
2020-06-11,190.28,190.28,179.9,180.65,1767971
2020-06-12,184.91,185.38,177.85,181.95,1378432
2020-06-15,178.52,185.345,177.21,184.1,1631484
2020-06-16,188.49,188.83,184.27,186.12,1161888
2020-06-17,186.73,193.42,186.42,191.93,1545947
2020-06-18,190.72,194.86,190.13,190.99,1172768
2020-06-19,193.9,194.02,186.21,186.79,2778316
2020-06-22,185.8,190.26,185.02,188.78,1332662
2020-06-23,191.04,191.38,188.49,189.01,1815764
2020-06-24,187.88,188.71,185.77,187.53,2358214
2020-06-25,187.67,194.9,187.25,194.39,1883466
2020-06-26,193.54,196.41,189.23,190.02,2459542
2020-06-29,191.43,191.89,187.24,188.22,1154423
2020-06-30,187.69,193.25,186.15,192.6,1758501
2020-07-01,192.7,193.815,190.12,191.14,1065660
2020-07-02,193.8,193.8,190.77,191.45,1241428
2020-07-06,194.67,194.805,192.21,192.7,1242526
2020-07-07,192.2,193.675,191.8,192.46,1566937
2020-07-08,193.07,195.55,192.65,195.54,1844816
2020-07-09,195.49,195.69,192.66,194.46,1381735
2020-07-10,194.95,197.75,193.79,197.56,959263
2020-07-13,198.0,199.59,196.075,197.06,1168361
2020-07-14,197.54,200.98,197.53,199.05,1190398
2020-07-15,201.59,201.78,199.23,200.99,1175875
2020-07-16,201.01,202.76,199.985,202.67,1423827
2020-07-17,204.18,204.18,201.685,203.66,1229664
2020-07-20,202.84,204.25,202.27,203.9,1136832
2020-07-21,205.0,206.27,203.96,206.22,953960
2020-07-22,205.48,207.95,204.97,207.86,1274384
2020-07-23,207.7,208.735,206.3,207.37,1342619
2020-07-24,207.04,208.655,206.41,207.17,1022886
2020-07-27,207.57,207.77,205.16,207.02,1315204
2020-07-28,207.0,208.115,204.632,205.74,1395317
2020-07-29,204.97,206.54,203.66,205.8,1462797
2020-07-30,203.64,207.43,202.61,207.43,1442891
2020-07-31,205.2,206.8056,200.53,205.22,2318332
2020-08-03,205.39,206.45,199.5,200.23,1743758
2020-08-04,200.02,201.73,197.63,199.64,1385715
2020-08-05,196.71,199.605,196.71,198.53,1536271
2020-08-06,197.61,198.14,194.23,195.61,1386368
2020-08-07,195.17,195.72,193.53,195.44,1134461
2020-08-10,195.41,196.33,192.72,192.84,1012505
2020-08-11,194.72,194.72,192.05,193.55,1671275
2020-08-12,194.95,195.24,191.64,192.13,1690332
2020-08-13,191.13,194.79,190.0,194.67,4634084
2020-08-14,194.72,197.63,194.515,197.2,1242908
